x_mm,y_mm,Water_Resist_ohm_m,Permeability_mD
15,33,248.69,552.45
15,60,249.17,489.67
15,75,243.93,457.78
18,27,249.13,360.07
18,84,247.02,473.68
18,117,247.71,356.62
18,123,248.46,232.13
21,63,250.29,324.48
21,105,247.74,295.18
24,21,249.6,502.4
24,36,250.69,391.07
24,48,251.65,318.98
24,123,249.43,248.27
27,24,251.01,508.31
27,27,248.35,365.79
27,48,251.83,318.55
27,57,249.34,398.04
27,93,246.86,454.81
33,27,249.74,393.36
36,42,252.58,399.26
36,60,250.29,457.27
36,84,247.76,437.43
36,96,246.63,423.06
39,21,249.9,495.57
39,84,247.1,442.99
39,102,247.41,272.65
42,24,249.62,497.78
42,51,251.74,318.76
42,84,247.75,462.2
45,66,249.29,333.45
45,72,249.46,455.58
45,78,247.98,385.56
48,78,248.1,394.51
48,93,244.39,472.19
48,99,245.85,306.97
51,30,248.39,592.88
51,111,248.15,344.96
54,33,248.59,499.98
54,36,250.03,394.04
54,48,252.09,290.64
54,63,248.4,305.94
54,75,247.79,395.7
54,111,246.88,353.31
57,39,249.83,405.63
57,48,252.18,294.27
57,120,248.66,271.56
60,51,250.41,338.42
60,60,249.51,438.26
60,96,245.73,391.63
63,84,246.35,462.72
66,21,249.79,458.92
66,39,249.74,446.27
66,60,249.6,462.56
66,90,245.45,370.53
66,114,246.48,374.97
66,123,250.62,306.71
69,36,249.83,407.94
69,105,246.47,328.08
69,123,249.11,290.06
72,24,250.24,505.88
72,45,250.81,285.29
72,48,251.38,337.13
72,66,249.29,343.52
72,78,246.53,375.06
72,87,245.58,375.82
75,39,250.68,457.46
75,114,246.37,342.23
75,123,247.81,276.45
78,24,249.03,483.63
78,60,249.66,532.49
78,72,249.48,335.57
78,87,244.65,387.77
78,99,245.63,271.75
78,111,246.94,342.66
78,126,250.49,224.85
81,27,248.79,477
81,66,248.71,362.32
81,108,248.13,369.4
84,27,249.11,488.02
84,33,248.97,448.77
84,45,251.16,281.25
84,69,249.77,496.32
87,18,249.3,304.72
87,51,251.68,383.56
87,57,249.27,475.74
90,18,250.41,271.96
90,39,251.22,445.94
90,45,252.15,281.36
90,87,246.49,363.24
90,99,249.56,297.47
90,129,250.96,208.12
93,30,249.27,542.05
93,45,252.19,299
93,69,249.6,509.83
96,36,250.36,412.38
96,54,250.31,256.58
96,123,251.29,282
96,129,250.93,215.66
99,27,248.13,521.04
99,51,252.51,375.88
99,66,248.88,360.1
99,84,247.49,447.03
102,102,248.58,332.81
102,123,253.67,268
102,126,253.8,257.86
105,18,250.87,291.93
105,42,253.47,298.51
105,66,248.92,413.94
105,75,248.59,361.88
108,54,250.53,277.4
108,123,254.69,250.88
111,30,250.69,502.38
111,33,250.1,441.84
111,36,250.82,435.86
111,90,248.22,353.65
111,96,248.13,336.75
111,108,248.43,349.56
111,120,254.05,270.96
114,117,252.63,255.38
117,60,250.97,496.88
117,69,250.01,439.54
117,78,246.99,407.08
117,126,253.87,275.74
117,129,252.23,204.89
120,18,252.22,288.46
120,57,250.45,468.92
123,24,251.85,477.16
123,90,248.77,361.01
126,51,253.02,291.89
126,57,250.49,454.55
126,105,250.45,403.29
126,126,253.52,277.38
129,81,248.92,476.14
132,27,251.91,472.46
132,54,251.91,302.98
132,60,250.92,474.94
132,72,250.03,372.44
132,84,249.98,446.35
132,87,249.8,354.62
132,90,249.64,368
135,18,252.74,307.49
135,30,250.18,494.51
135,99,249.89,339.1
135,126,252.18,310.22
138,42,252.91,282.07
138,51,253.36,290.92
138,81,248.57,421.06
138,84,248.7,414.67
138,105,250.1,383.48
141,72,248.95,377.38
141,87,249.62,364.91
141,90,248.7,346.68
141,108,248.97,378.89
144,27,252.35,452.5
144,30,249.53,533.69
144,60,248.43,510.55
144,90,248.59,341.35
144,99,248.84,312.06
147,24,253.29,378.66
147,51,251.39,307.79
147,87,249.73,342.53
147,120,252.23,215.82
150,18,252.79,311.12
150,27,249.87,498.39
150,60,250.14,506.83
150,93,249.42,504.2
150,120,252.63,211.86
153,87,249.06,351.8
153,99,249.56,312.62
153,108,249.08,351.95
153,126,250.93,304.93
156,99,249.69,314.06
156,123,251.7,253.65
159,39,251.53,353.35
159,42,253.6,309.28
159,63,248.92,348.35
159,120,253.64,218.98
162,18,250.78,346.15
162,30,248.74,514.81
162,81,248.33,508.2
162,123,252.42,255.11
165,30,249.49,513.84
165,36,250.22,447.13
165,84,247.85,436.84
165,102,249.82,400.46
168,27,249.66,395.37
168,42,253.6,326.17
168,72,249.8,335.53
168,123,255.07,229.07
171,21,251.31,439.43
171,24,251.11,406.11
171,27,250.3,412.99
171,33,247.67,443.55
171,39,250.04,364.08
171,78,249.61,317.26
171,81,247.95,495.69
171,108,249.34,409.51
171,114,251.69,375.88
174,30,249.43,520.22
174,117,254.05,216.67
174,123,256.39,216.32
177,18,251.61,335.29
177,21,252.84,440.38
177,24,251.54,406.2
177,27,251.36,449.05
177,60,250.38,446.72
177,102,248.78,365.67
180,18,251.07,338.83
180,30,249.86,482.8
180,36,250.23,427.08
180,72,249.86,373.18
180,102,247.93,409.12
180,129,252.33,270.27
183,18,252,345.33
183,33,249,424.59
183,48,252.76,316.18
183,60,250.42,477.08
183,63,249.22,345.72
183,75,249.54,416.41
183,105,248.04,437.8
186,27,250.48,412.94
186,60,250.6,476.35
186,69,248.76,492.29
186,78,248.7,329.32
186,93,247.39,459.03
186,96,248.64,301.27
189,24,251.66,359
189,51,251.04,325.3
189,63,248.75,330.72
189,129,251.6,285.63
192,21,251.99,485.31
192,24,250.8,382.47
192,30,250.9,455.13
192,33,250.25,444.9
192,42,252.87,312.41
192,69,248.31,502.41
195,18,250.62,366.02
195,24,251.97,371.71
195,69,248.5,523.98
195,84,249.29,490.38
195,102,248.32,356.42
195,117,252.32,264.46
198,24,251.45,365.79
198,30,250.7,456.84
198,81,249.2,477.59
198,87,248.32,354.29
198,90,247.38,404.97
198,114,250.1,411.65
198,129,250.28,268.39
201,129,250.33,259.02
204,33,250.59,454.57
204,51,250.57,293.67
204,96,248.73,297.56
204,108,247.6,480.06
207,60,251.64,361.74
207,63,250,296.24
207,78,250,349.91
207,87,249.23,332.31
207,111,247.44,454.44
210,39,252.48,310.34
210,63,251.09,288.42
213,42,252.61,311.07
213,114,248.38,428.54
213,123,253.95,273.38
216,81,249.72,431.82
216,105,245.96,447.35
216,111,246.39,441.37
219,18,250.84,400.57
219,30,250.53,503.58
219,57,251.27,426.45
219,69,249.15,452.21
219,108,246.97,482.04
219,120,251.84,258.26
222,81,249.5,413.97
222,84,249.29,405.15
222,87,247.32,337.64
222,93,247.41,494.05
222,105,247.67,466.84
225,30,249.52,452.3
225,96,247.99,366.31
225,129,254.99,259.07
228,30,250.16,473.01
228,57,250.81,407.11
228,102,247.91,432.19
231,51,251.67,278.91
231,57,251.33,409.24
231,84,250.16,424.56
231,126,253.37,238.09
234,39,253.19,213.43
234,57,250.94,395.37
234,63,248.68,381.79
234,72,246.19,358.26
234,114,250.41,405.2
237,57,250.77,383.29
237,69,248.61,485.12
237,123,253.04,301.99
240,21,251.36,497.04
240,33,250.34,485.25
240,72,248.11,364.43
240,117,251.17,279.68
243,21,250.85,513.8
243,27,249.01,476.89
243,36,251.14,365.11
243,84,248.92,375.29
243,114,248.49,394.08
243,129,252.64,259.49
246,60,249.77,405.65
246,129,250.78,259.43
249,45,255.13,260.2
249,60,250.58,406.29
252,21,252.19,479.47
252,33,248.41,470.02
252,42,253.19,325.01
252,69,249.85,431.42
255,57,251.23,424.92
255,96,246.93,462.14
255,102,247.22,455.85
258,33,248.78,480.47
258,48,253.56,304.93
258,99,246.78,376.56
258,114,247.97,407.07
261,18,250.5,443.28
261,33,249.43,515.75
261,51,250.7,265.97
261,87,246.04,396.29
261,96,245.39,455.79
261,111,247.14,467.95
264,27,248.36,532.63
264,51,250.16,256.74
264,60,250.12,343.93
267,27,248.71,508.94
267,42,252.39,289.13
267,66,247.67,549.65
267,114,248.24,395.25
270,18,249.62,436.93
270,27,248.19,492.36
270,66,246.64,559.32
270,72,247.42,364.91
270,87,245.11,413.29
270,108,244.97,409.83
270,111,245.35,470.88
273,18,248.66,442.12
273,24,249.76,377.33
273,48,250.62,308.24
273,60,248.04,398.96
273,81,246.28,489.17
273,87,244.32,453.88
273,90,244.56,461.11
